Metagene	Cell type	Immunity
ADAM28	Activated B cell	Adaptive
CD180	Activated B cell	Adaptive
CD79B	Activated B cell	Adaptive
BLK	Activated B cell	Adaptive
CD19	Activated B cell	Adaptive
MS4A1	Activated B cell	Adaptive
TNFRSF17	Activated B cell	Adaptive
IGHM	Activated B cell	Adaptive
GNG7	Activated B cell	Adaptive
MICAL3	Activated B cell	Adaptive
SPIB	Activated B cell	Adaptive
HLA-DOB	Activated B cell	Adaptive
IGKC	Activated B cell	Adaptive
PNOC	Activated B cell	Adaptive
FCRL2	Activated B cell	Adaptive
BACH2	Activated B cell	Adaptive
CR2	Activated B cell	Adaptive
TCL1A	Activated B cell	Adaptive
AKNA	Activated B cell	Adaptive
ARHGAP25	Activated B cell	Adaptive
CCL21	Activated B cell	Adaptive
CD27	Activated B cell	Adaptive
CD38	Activated B cell	Adaptive
CLEC17A	Activated B cell	Adaptive
CLEC9A	Activated B cell	Adaptive
CLECL1	Activated B cell	Adaptive
AIM2	Activated CD4 T cell	Adaptive
BIRC3	Activated CD4 T cell	Adaptive
BRIP1	Activated CD4 T cell	Adaptive
CCL20	Activated CD4 T cell	Adaptive
CCL4	Activated CD4 T cell	Adaptive
CCL5	Activated CD4 T cell	Adaptive
CCNB1	Activated CD4 T cell	Adaptive
CCR7	Activated CD4 T cell	Adaptive
DUSP2	Activated CD4 T cell	Adaptive
ESCO2	Activated CD4 T cell	Adaptive
ETS1	Activated CD4 T cell	Adaptive
EXO1	Activated CD4 T cell	Adaptive
EXOC6	Activated CD4 T cell	Adaptive
IARS	Activated CD4 T cell	Adaptive
ITK	Activated CD4 T cell	Adaptive
KIF11	Activated CD4 T cell	Adaptive
KNTC1	Activated CD4 T cell	Adaptive
NUF2	Activated CD4 T cell	Adaptive
PRC1	Activated CD4 T cell	Adaptive
PSAT1	Activated CD4 T cell	Adaptive
RGS1	Activated CD4 T cell	Adaptive
RTKN2	Activated CD4 T cell	Adaptive
SAMSN1	Activated CD4 T cell	Adaptive
SELL	Activated CD4 T cell	Adaptive
TRAT1	Activated CD4 T cell	Adaptive
ADRM1	Activated CD8 T cell	Adaptive
AHSA1	Activated CD8 T cell	Adaptive
C1GALT1C1	Activated CD8 T cell	Adaptive
CCT6B	Activated CD8 T cell	Adaptive
CD37	Activated CD8 T cell	Adaptive
CD3D	Activated CD8 T cell	Adaptive
CD3E	Activated CD8 T cell	Adaptive
CD3G	Activated CD8 T cell	Adaptive
CD69	Activated CD8 T cell	Adaptive
CD8A	Activated CD8 T cell	Adaptive
CETN3	Activated CD8 T cell	Adaptive
CSE1L	Activated CD8 T cell	Adaptive
GEMIN6	Activated CD8 T cell	Adaptive
GNLY	Activated CD8 T cell	Adaptive
GPT2	Activated CD8 T cell	Adaptive
GZMA	Activated CD8 T cell	Adaptive
GZMH	Activated CD8 T cell	Adaptive
GZMK	Activated CD8 T cell	Adaptive
IL2RB	Activated CD8 T cell	Adaptive
LCK	Activated CD8 T cell	Adaptive
MPZL1	Activated CD8 T cell	Adaptive
NKG7	Activated CD8 T cell	Adaptive
PIK3IP1	Activated CD8 T cell	Adaptive
PTRH2	Activated CD8 T cell	Adaptive
TIMM13	Activated CD8 T cell	Adaptive
ZAP70	Activated CD8 T cell	Adaptive
ABHD3	Central memory CD4 T cell	Adaptive
AHNAK	Central memory CD4 T cell	Adaptive
ANXA2P2	Central memory CD4 T cell	Adaptive
AQP3	Central memory CD4 T cell	Adaptive
ATHL1	Central memory CD4 T cell	Adaptive
BMI1	Central memory CD4 T cell	Adaptive
BZW2	Central memory CD4 T cell	Adaptive
CD63	Central memory CD4 T cell	Adaptive
COL4A1	Central memory CD4 T cell	Adaptive
CYLD	Central memory CD4 T cell	Adaptive
ELMO2	Central memory CD4 T cell	Adaptive
FYN	Central memory CD4 T cell	Adaptive
GLIPR1	Central memory CD4 T cell	Adaptive
GSS	Central memory CD4 T cell	Adaptive
IFITM2	Central memory CD4 T cell	Adaptive
ITGB1	Central memory CD4 T cell	Adaptive
ITGB2	Central memory CD4 T cell	Adaptive
KLF5	Central memory CD4 T cell	Adaptive
LSP1	Central memory CD4 T cell	Adaptive
NDUFB9	Central memory CD4 T cell	Adaptive
PKM2	Central memory CD4 T cell	Adaptive
SFXN3	Central memory CD4 T cell	Adaptive
SIRPG	Central memory CD4 T cell	Adaptive
SMAD4	Central memory CD4 T cell	Adaptive
STX4	Central memory CD4 T cell	Adaptive
TRADD	Central memory CD4 T cell	Adaptive
VIM	Central memory CD4 T cell	Adaptive
XRCC6	Central memory CD4 T cell	Adaptive
ACTN4	Central memory CD8 T cell	Adaptive
ADAM12	Central memory CD8 T cell	Adaptive
ADCY9	Central memory CD8 T cell	Adaptive
F13A1	Central memory CD8 T cell	Adaptive
FCER1G	Central memory CD8 T cell	Adaptive
FCGR3B	Central memory CD8 T cell	Adaptive
FGF7	Central memory CD8 T cell	Adaptive
FKBP4	Central memory CD8 T cell	Adaptive
GLUD1	Central memory CD8 T cell	Adaptive
GM2A	Central memory CD8 T cell	Adaptive
GUSB	Central memory CD8 T cell	Adaptive
IL1RN	Central memory CD8 T cell	Adaptive
NOL11	Central memory CD8 T cell	Adaptive
NTRK1	Central memory CD8 T cell	Adaptive
RARA	Central memory CD8 T cell	Adaptive
RNF128	Central memory CD8 T cell	Adaptive
SIGLEC1	Central memory CD8 T cell	Adaptive
TNFRSF11A	Central memory CD8 T cell	Adaptive
TOX4	Central memory CD8 T cell	Adaptive
UBA52	Central memory CD8 T cell	Adaptive
ULBP1	Central memory CD8 T cell	Adaptive
ATM	Effector memeory CD4 T cell	Adaptive
CASP3	Effector memeory CD4 T cell	Adaptive
CASQ1	Effector memeory CD4 T cell	Adaptive
CD300E	Effector memeory CD4 T cell	Adaptive
DARS	Effector memeory CD4 T cell	Adaptive
DOCK9	Effector memeory CD4 T cell	Adaptive
EXOSC9	Effector memeory CD4 T cell	Adaptive
EZH2	Effector memeory CD4 T cell	Adaptive
GDE1	Effector memeory CD4 T cell	Adaptive
IL34	Effector memeory CD4 T cell	Adaptive
NCOA4	Effector memeory CD4 T cell	Adaptive
NEFL	Effector memeory CD4 T cell	Adaptive
PDGFRL	Effector memeory CD4 T cell	Adaptive
PTGS1	Effector memeory CD4 T cell	Adaptive
REPS1	Effector memeory CD4 T cell	Adaptive
SCG2	Effector memeory CD4 T cell	Adaptive
SDPR	Effector memeory CD4 T cell	Adaptive
SIGLEC14	Effector memeory CD4 T cell	Adaptive
SIGLEC6	Effector memeory CD4 T cell	Adaptive
TAL1	Effector memeory CD4 T cell	Adaptive
TFEC	Effector memeory CD4 T cell	Adaptive
TIPIN	Effector memeory CD4 T cell	Adaptive
TPK1	Effector memeory CD4 T cell	Adaptive
UQCRB	Effector memeory CD4 T cell	Adaptive
USP9Y	Effector memeory CD4 T cell	Adaptive
WIPF1	Effector memeory CD4 T cell	Adaptive
ZCRB1	Effector memeory CD4 T cell	Adaptive
ACAP1	Effector memeory CD8 T cell	Adaptive
APOL3	Effector memeory CD8 T cell	Adaptive
ARHGAP10	Effector memeory CD8 T cell	Adaptive
ATP10D	Effector memeory CD8 T cell	Adaptive
C3AR1	Effector memeory CD8 T cell	Adaptive
CCR5	Effector memeory CD8 T cell	Adaptive
CD160	Effector memeory CD8 T cell	Adaptive
CD55	Effector memeory CD8 T cell	Adaptive
CFLAR	Effector memeory CD8 T cell	Adaptive
CMKLR1	Effector memeory CD8 T cell	Adaptive
DAPP1	Effector memeory CD8 T cell	Adaptive
FCRL6	Effector memeory CD8 T cell	Adaptive
FLT3LG	Effector memeory CD8 T cell	Adaptive
GZMM	Effector memeory CD8 T cell	Adaptive
HAPLN3	Effector memeory CD8 T cell	Adaptive
HLA-DMB	Effector memeory CD8 T cell	Adaptive
HLA-DPA1	Effector memeory CD8 T cell	Adaptive
HLA-DPB1	Effector memeory CD8 T cell	Adaptive
IFI16	Effector memeory CD8 T cell	Adaptive
LIME1	Effector memeory CD8 T cell	Adaptive
LTK	Effector memeory CD8 T cell	Adaptive
NFKBIA	Effector memeory CD8 T cell	Adaptive
SETD7	Effector memeory CD8 T cell	Adaptive
SIK1	Effector memeory CD8 T cell	Adaptive
TRIB2	Effector memeory CD8 T cell	Adaptive
ACP5	Gamma delta T cell	Adaptive
AQP9	Gamma delta T cell	Adaptive
BTN3A2	Gamma delta T cell	Adaptive
C1orf54	Gamma delta T cell	Adaptive
CARD8	Gamma delta T cell	Adaptive
CCL18	Gamma delta T cell	Adaptive
CD209	Gamma delta T cell	Adaptive
CD33	Gamma delta T cell	Adaptive
CD36	Gamma delta T cell	Adaptive
CDK5	Gamma delta T cell	Adaptive
IL10RB	Gamma delta T cell	Adaptive
KLRF1	Gamma delta T cell	Adaptive
LGALS1	Gamma delta T cell	Adaptive
MAPK7	Gamma delta T cell	Adaptive
KLHL7	Gamma delta T cell	Adaptive
KRT80	Gamma delta T cell	Adaptive
LAMC1	Gamma delta T cell	Adaptive
LCORL	Gamma delta T cell	Adaptive
LMNB1	Gamma delta T cell	Adaptive
MEIS3P1	Gamma delta T cell	Adaptive
MPL	Gamma delta T cell	Adaptive
FABP1	Gamma delta T cell	Adaptive
FABP5	Gamma delta T cell	Adaptive
FADD	Gamma delta T cell	Adaptive
MFAP3L	Gamma delta T cell	Adaptive
MINPP1	Gamma delta T cell	Adaptive
RPS24	Gamma delta T cell	Adaptive
RPS7	Gamma delta T cell	Adaptive
RPS9	Gamma delta T cell	Adaptive
DBNL	Gamma delta T cell	Adaptive
CCL13	Gamma delta T cell	Adaptive
CD22	Immature  B cell	Adaptive
CYBB	Immature  B cell	Adaptive
FAM129C	Immature  B cell	Adaptive
FCRL1	Immature  B cell	Adaptive
FCRL3	Immature  B cell	Adaptive
FCRL5	Immature  B cell	Adaptive
FCRLA	Immature  B cell	Adaptive
HDAC9	Immature  B cell	Adaptive
HLA-DQA1	Immature  B cell	Adaptive
HVCN1	Immature  B cell	Adaptive
KIAA0226	Immature  B cell	Adaptive
NCF1	Immature  B cell	Adaptive
NCF1B	Immature  B cell	Adaptive
P2RY10	Immature  B cell	Adaptive
SP100	Immature  B cell	Adaptive
TXNIP	Immature  B cell	Adaptive
STAP1	Immature  B cell	Adaptive
TAGAP	Immature  B cell	Adaptive
ZCCHC2	Immature  B cell	Adaptive
AICDA	Memory B cell	Adaptive
CCNA2	Memory B cell	Adaptive
CDKN3	Memory B cell	Adaptive
CLCN5	Memory B cell	Adaptive
ENPP1	Memory B cell	Adaptive
FCER1A	Memory B cell	Adaptive
FCRL4	Memory B cell	Adaptive
MYC	Memory B cell	Adaptive
RUNX2	Memory B cell	Adaptive
SORL1	Memory B cell	Adaptive
SOX5	Memory B cell	Adaptive
STAT5A	Memory B cell	Adaptive
STAT5B	Memory B cell	Adaptive
TLR9	Memory B cell	Adaptive
CCL3L1	Regulatory T cell	Adaptive
CD72	Regulatory T cell	Adaptive
CLEC5A	Regulatory T cell	Adaptive
FOXP3	Regulatory T cell	Adaptive
ITGA4	Regulatory T cell	Adaptive
L1CAM	Regulatory T cell	Adaptive
LIPA	Regulatory T cell	Adaptive
LRP1	Regulatory T cell	Adaptive
LRRC42	Regulatory T cell	Adaptive
MARCO	Regulatory T cell	Adaptive
MMP12	Regulatory T cell	Adaptive
MNDA	Regulatory T cell	Adaptive
MRC1	Regulatory T cell	Adaptive
MS4A6A	Regulatory T cell	Adaptive
PELO	Regulatory T cell	Adaptive
PLEK	Regulatory T cell	Adaptive
PRSS23	Regulatory T cell	Adaptive
PTGIR	Regulatory T cell	Adaptive
ST8SIA4	Regulatory T cell	Adaptive
STAB1	Regulatory T cell	Adaptive
B3GAT1	T follicular helper cell	Adaptive
CDK5R1	T follicular helper cell	Adaptive
PDCD1	T follicular helper cell	Adaptive
BCL6	T follicular helper cell	Adaptive
CD200	T follicular helper cell	Adaptive
CD83	T follicular helper cell	Adaptive
CD84	T follicular helper cell	Adaptive
FGF2	T follicular helper cell	Adaptive
GPR18	T follicular helper cell	Adaptive
CEBPA	T follicular helper cell	Adaptive
CECR1	T follicular helper cell	Adaptive
CLEC10A	T follicular helper cell	Adaptive
CLEC4A	T follicular helper cell	Adaptive
CSF1R	T follicular helper cell	Adaptive
CTSS	T follicular helper cell	Adaptive
DMN	T follicular helper cell	Adaptive
DPP4	T follicular helper cell	Adaptive
LRRC32	T follicular helper cell	Adaptive
MC5R	T follicular helper cell	Adaptive
MICA	T follicular helper cell	Adaptive
NCAM1	T follicular helper cell	Adaptive
NCR2	T follicular helper cell	Adaptive
NRP1	T follicular helper cell	Adaptive
PDCD1LG2	T follicular helper cell	Adaptive
PDCD6	T follicular helper cell	Adaptive
PRDX1	T follicular helper cell	Adaptive
RAE1	T follicular helper cell	Adaptive
RAET1E	T follicular helper cell	Adaptive
SIGLEC7	T follicular helper cell	Adaptive
SIGLEC9	T follicular helper cell	Adaptive
TYRO3	T follicular helper cell	Adaptive
CHST12	T follicular helper cell	Adaptive
CLIC3	T follicular helper cell	Adaptive
IVNS1ABP	T follicular helper cell	Adaptive
KIR2DL2	T follicular helper cell	Adaptive
LGMN	T follicular helper cell	Adaptive
CD70	Type 1 T helper cell	Adaptive
TBX21	Type 1 T helper cell	Adaptive
ADAM8	Type 1 T helper cell	Adaptive
AHCYL2	Type 1 T helper cell	Adaptive
ALCAM	Type 1 T helper cell	Adaptive
B3GALNT1	Type 1 T helper cell	Adaptive
BBS12	Type 1 T helper cell	Adaptive
BST1	Type 1 T helper cell	Adaptive
CD151	Type 1 T helper cell	Adaptive
CD47	Type 1 T helper cell	Adaptive
CD48	Type 1 T helper cell	Adaptive
CD52	Type 1 T helper cell	Adaptive
CD53	Type 1 T helper cell	Adaptive
CD59	Type 1 T helper cell	Adaptive
CD6	Type 1 T helper cell	Adaptive
CD68	Type 1 T helper cell	Adaptive
CD7	Type 1 T helper cell	Adaptive
CD96	Type 1 T helper cell	Adaptive
CFHR3	Type 1 T helper cell	Adaptive
CHRM3	Type 1 T helper cell	Adaptive
CLEC7A	Type 1 T helper cell	Adaptive
COL23A1	Type 1 T helper cell	Adaptive
COL4A4	Type 1 T helper cell	Adaptive
COL5A3	Type 1 T helper cell	Adaptive
DAB1	Type 1 T helper cell	Adaptive
DLEU7	Type 1 T helper cell	Adaptive
DOC2B	Type 1 T helper cell	Adaptive
EMP1	Type 1 T helper cell	Adaptive
F12	Type 1 T helper cell	Adaptive
FURIN	Type 1 T helper cell	Adaptive
GAB3	Type 1 T helper cell	Adaptive
GATM	Type 1 T helper cell	Adaptive
GFPT2	Type 1 T helper cell	Adaptive
GPR25	Type 1 T helper cell	Adaptive
GREM2	Type 1 T helper cell	Adaptive
HAVCR1	Type 1 T helper cell	Adaptive
HSD11B1	Type 1 T helper cell	Adaptive
HUNK	Type 1 T helper cell	Adaptive
IGF2	Type 1 T helper cell	Adaptive
RCSD1	Type 1 T helper cell	Adaptive
RYR1	Type 1 T helper cell	Adaptive
SAV1	Type 1 T helper cell	Adaptive
SELE	Type 1 T helper cell	Adaptive
SELP	Type 1 T helper cell	Adaptive
SH3KBP1	Type 1 T helper cell	Adaptive
SIT1	Type 1 T helper cell	Adaptive
SLC35B3	Type 1 T helper cell	Adaptive
SIGLEC10	Type 1 T helper cell	Adaptive
SKAP1	Type 1 T helper cell	Adaptive
THUMPD2	Type 1 T helper cell	Adaptive
TIGIT	Type 1 T helper cell	Adaptive
ZEB2	Type 1 T helper cell	Adaptive
ENC1	Type 1 T helper cell	Adaptive
FAM134B	Type 1 T helper cell	Adaptive
FBXO30	Type 1 T helper cell	Adaptive
FCGR2C	Type 1 T helper cell	Adaptive
STAC	Type 1 T helper cell	Adaptive
LTC4S	Type 1 T helper cell	Adaptive
MAN1B1	Type 1 T helper cell	Adaptive
MDH1	Type 1 T helper cell	Adaptive
MMD	Type 1 T helper cell	Adaptive
RGS16	Type 1 T helper cell	Adaptive
IL12A	Type 1 T helper cell	Adaptive
P2RX5	Type 1 T helper cell	Adaptive
CD97	Type 1 T helper cell	Adaptive
ITGB4	Type 1 T helper cell	Adaptive
ICAM3	Type 1 T helper cell	Adaptive
METRNL	Type 1 T helper cell	Adaptive
TNFRSF1A	Type 1 T helper cell	Adaptive
IRF1	Type 1 T helper cell	Adaptive
HTR2B	Type 1 T helper cell	Adaptive
CALD1	Type 1 T helper cell	Adaptive
MOCOS	Type 1 T helper cell	Adaptive
TRAF3IP2	Type 1 T helper cell	Adaptive
TLR8	Type 1 T helper cell	Adaptive
TRAF1	Type 1 T helper cell	Adaptive
DUSP14	Type 1 T helper cell	Adaptive
IL17A	Type 17 T helper cell	Adaptive
IL17RA	Type 17 T helper cell	Adaptive
C2CD4A	Type 17 T helper cell	Adaptive
C2CD4B	Type 17 T helper cell	Adaptive
CA2	Type 17 T helper cell	Adaptive
CCDC65	Type 17 T helper cell	Adaptive
CEACAM3	Type 17 T helper cell	Adaptive
IL17C	Type 17 T helper cell	Adaptive
IL17F	Type 17 T helper cell	Adaptive
IL17RC	Type 17 T helper cell	Adaptive
IL17RE	Type 17 T helper cell	Adaptive
IL23A	Type 17 T helper cell	Adaptive
