gene	cell	p	cor
SIGLEC16	Plasma cells	0.0304066607823286	-0.146
SIGLEC16	T cells CD8	8.79637329322946e-05	0.261
SIGLEC16	T cells follicular helper	0.000250121641885315	0.244
SIGLEC16	T cells regulatory (Tregs)	0.000182692388816186	0.249
SIGLEC16	Macrophages M0	0.00762638409122962	-0.179
SIGLEC16	Macrophages M1	0.000107588222169497	0.258
SIGLEC16	Macrophages M2	8.50853323364209e-05	0.261
SIGLEC16	Dendritic cells activated	0.000596105694014692	-0.229
SIGLEC16	Mast cells activated	0.00234806785226915	-0.204
SIGLEC16	Neutrophils	0.00153319944282337	-0.212
SIGLEC15	B cells naive	0.00651357738473513	0.183
SIGLEC15	B cells memory	0.00543267765832978	-0.186
SIGLEC14	B cells memory	0.030871801645038	-0.145
SIGLEC14	Plasma cells	3.29212809899726e-05	-0.275
SIGLEC14	T cells CD8	0.000434661309122841	0.235
SIGLEC14	T cells CD4 memory activated	0.00299363807858133	0.199
SIGLEC14	T cells follicular helper	0.0231998701034173	0.153
SIGLEC14	T cells gamma delta	0.00603634769033246	-0.184
SIGLEC14	NK cells resting	0.00273324096653216	0.201
SIGLEC14	Macrophages M1	0.000777924349094405	0.224
SIGLEC14	Macrophages M2	0.00200882219766618	0.207
SIGLEC14	Eosinophils	0.00283323045136363	-0.2
SIGLEC12	B cells memory	0.0265580701857315	-0.149
SIGLEC12	Plasma cells	0.000247313066962906	-0.244
SIGLEC12	T cells CD8	0.000378044418344325	0.237
SIGLEC12	T cells CD4 naive	0.0439867917793229	-0.136
SIGLEC12	T cells CD4 memory activated	0.000640122486002648	0.228
SIGLEC12	Macrophages M0	0.0169128414543258	-0.161
SIGLEC12	Macrophages M1	1.6481402109747e-07	0.343
SIGLEC12	Macrophages M2	0.0438909293472141	0.136
SIGLEC11	B cells memory	0.007444806415974	-0.18
SIGLEC11	Plasma cells	0.000121229490534169	-0.256
SIGLEC11	T cells CD8	3.23875105294746e-05	0.276
SIGLEC11	T cells CD4 memory resting	0.00707176823493061	-0.181
SIGLEC11	T cells CD4 memory activated	0.00144676708828362	0.213
SIGLEC11	T cells follicular helper	0.000178453109986654	0.25
SIGLEC11	T cells regulatory (Tregs)	0.00227882156830805	0.204
SIGLEC11	Macrophages M1	8.60210249697957e-07	0.324
SIGLEC11	Macrophages M2	5.23862420109822e-09	0.38
SIGLEC11	Dendritic cells activated	0.000336630006139593	-0.239
SIGLEC11	Eosinophils	0.0146970662424244	-0.164
SIGLEC11	Neutrophils	0.0100109634306769	-0.173
SIGLEC10	Plasma cells	1.59524349285789e-09	-0.392
