Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB4	555.71	10.74	7.23	4.31	4.61	7.41	8.04	6.47	7.83	9.31	13.68	4.56	6.2	7.95	27.56	121.43	114.64	4.87	4.73	34.11	15.03	14.91
ABCB9	15.6	22.09	653.39	24.22	35.67	30.05	38.46	17.6	46.07	19.72	21.86	16.4	20.31	56.25	29.38	40.39	123.99	23.38	53.47	23.62	29.79	33.68
ACAP1	215.31	321.62	38.62	1055.61	1790.1	922.15	340.88	1107.8	1995.48	280.08	512.64	387.58	190.88	48.97	30.97	23.06	61.39	26.41	104.2	73.61	696.44	596.03
ACHE	15.12	16.65	22.12	13.43	27.19	18.44	13.44	14.81	24.65	33.66	16.65	13.44	16.38	13.69	1373.07	48.59	16.72	193.16	13.95	20.5	40.41	22.77
ACP5	605.9	1935.2	1120.1	306.31	744.66	557.82	248.55	711.95	958.92	493.97	340.82	239.28	512.93	13644.17	1062.48	7633.96	13825.05	3989.87	263.5	323.38	860.56	307.14
ADAM28	1943.74	1148.12	324.78	22.69	40.06	21.23	15.21	24.28	74.77	24.37	193.61	94.41	58.31	54.97	274.64	360.68	37.29	53.22	137.85	116.88	546.01	128.69
ADAMDEC1	371.03	318.48	127.97	44.62	80.96	47.43	30.55	68.74	156.71	231.83	68.28	48.4	106.3	4464.26	8524.02	5004.97	164.84	1784.61	730.19	1569.76	175.17	185.51
ADAMTS3	146.2	106.05	74.34	42.39	79.24	57.39	53.41	35.41	76.28	65.27	31.44	50.82	54.8	45.56	32.34	33.35	48.7	44.23	650.18	406.23	100.74	124.36
ADRB2	486.34	510.08	289.8	899.65	77.15	595.21	142.83	97.17	217.06	2378.45	1957.54	2360.47	664.88	143.02	787.62	363.19	175.63	82.91	4628.68	2887.87	1969.03	735.66
AIF1	24.07	20.32	21.97	742.82	718.61	35.17	39.51	19.08	29.37	1086.96	105.73	23.17	8655.68	1841.27	1611.23	11610.29	3285.64	26.92	1851.12	1672.63	51.18	6260.64
AIM2	327.96	4538.99	1429.67	294.48	57.08	250.3	3311.98	1115.68	315.65	407.59	87.23	134.5	536.11	181.96	2965.89	148.28	176.96	907.04	93.47	62.13	117.51	794.21
ALOX15	12.23	13.75	9.07	9.77	18.56	12.01	5.24	13.15	22.38	14.45	30.18	9.78	9.8	6.62	5.41	430.34	2907.33	30.34	11.14	10.65	355.25	30.07
ALOX5	1799.68	2425.68	190.33	78.68	74.93	132.01	59.09	35	143.01	441.56	157.04	122	1979.3	788.54	83.3	248.37	118.48	73.11	641.14	590.93	1460.76	2917.27
AMPD1	263.75	217.76	3012.77	66.11	68.66	85.32	68.46	53.96	79.26	114.05	59.14	60.68	98.23	76.54	62.4	59.95	89.21	60.64	56.21	75.44	118.5	173.78
ANGPT4	23.12	21.31	230.68	44.68	22.06	44.48	99.59	101.45	29.47	29.26	9.38	26.18	16.92	39.33	21.22	11.81	17.89	12.02	33.41	31.33	14.81	34.72
ANKRD55	284.41	218.92	117.2	141.7	1853.34	436.42	79.77	1077.33	123.88	176.24	83.39	88.46	126.11	123.6	96.2	48.55	108.03	133.56	153.23	104.3	1068.3	415.24
APOBEC3A	102.43	89.6	99.59	64.36	107.24	52.74	57.78	71.38	36.39	723.14	253.31	132.22	2415.2	85.24	4501.14	148.8	107.91	2637.28	71.92	33.35	1137.48	5584.33
APOBEC3G	1283.45	1135.29	2034.56	2090.85	336.65	2340.67	1540.77	386.05	979.72	5415.05	6314.77	8895.3	865.74	278.77	1036.99	258.3	203.45	1393.36	627.13	327.19	306.31	464.44
APOL3	222.63	530.4	754.87	1209.12	950.79	1615.03	1119.49	351.13	993.46	1173.27	1172.69	1002.84	1000.83	238.6	11009.29	437.53	219.6	861.46	264.68	98.22	107.81	106.42
APOL6	17.31	11.61	7.83	8.45	11.96	8.44	57.52	7.18	13.37	9.72	12.86	370.4	11.82	13.11	967.65	7.78	9.14	159.53	23.13	8.2	5.95	19.07
AQP9	21.34	15.11	15.66	13.68	14.19	14.89	13.12	18.67	64.26	188.87	93.47	12.58	2044.03	4583.5	4309.34	399.47	1132.65	1454.9	576.55	1876.27	128.82	13705.69
ARHGAP22	34.64	48.31	23.83	45.01	71.86	22.63	15.45	25.41	32.57	12.49	82.43	27.4	54.81	175.46	351.59	272.99	319.77	2985.73	46.75	52.55	81.64	20.41
