GeneID	control1	control2	control3	treat1	treat2	treat3	logFC	type	pvalue	qvalue	function
FCN51_02150	260.793	369.025	203.573	56.189	66.378	74.463	-2.080561434	down	2.34E-12	7.38E-12	DNA polymerase III subunit beta
FCN51_02160	302.813	488.479	265.76	71.4	77.071	78.893	-2.216955662	down	6.77E-14	2.36E-13	gyrB; DNA topoisomerase (ATP-hydrolyzing) subunit B
FCN51_02175	1161.203	1239.378	903.508	473.802	466.023	455.224	-1.243934959	down	4.20E-05	7.35E-05	secG; preprotein translocase subunit SecG
FCN51_02180	1368.534	1602.585	1164.619	293.888	291.254	281.921	-2.253932121	down	1.85E-14	6.64E-14	triose-phosphate isomerase
FCN51_02185	252.641	432.971	170.023	110.826	111.4	115.829	-1.339729768	down	1.42E-05	2.59E-05	peptidylprolyl isomerase
FCN51_02190	207.969	352.951	146.544	89.609	87.984	86.009	-1.424285119	down	3.32E-06	6.44E-06	trpE; anthranilate synthase component I
FCN51_02195	304.462	486.779	256.809	115.428	125.085	120.741	-1.536614228	down	3.55E-07	7.49E-07	aminodeoxychorismate/anthranilate synthase component II
FCN51_02200	227.864	395.045	183.627	104.95	111.341	102.868	-1.337455404	down	1.31E-05	2.41E-05	trpD; anthranilate phosphoribosyltransferase
FCN51_02205	1003.905	1163.168	898.379	216.469	235.19	226.776	-2.175812342	down	1.25E-13	4.28E-13	trpC; indole-3-glycerol phosphate synthase TrpC
FCN51_02210	517.056	611.566	438.849	91.831	88.736	89.538	-2.536833238	down	1.16E-17	5.16E-17	moaC; cyclic pyranopterin monophosphate synthase MoaC
FCN51_02230	146.048	196.632	116.863	544.27	530.54	573.452	1.842667025	up	3.18E-13	1.06E-12	lpdA; dihydrolipoyl dehydrogenase
FCN51_02245	1168.258	2038.712	1478.337	433.872	447.304	500.937	-1.761265801	down	2.13E-09	5.28E-09	hypothetical protein
FCN51_02255	183.472	233.875	225.283	62.341	69.841	62.834	-1.720380379	down	5.50E-09	1.32E-08	phosphatidylglycerophosphatase A
FCN51_02260	317.608	347.328	340.522	85.384	88.081	93.084	-1.915368211	down	5.11E-11	1.46E-10	lytic transglycosylase domain-containing protein
FCN51_02275	335.325	412.361	260.493	76.28	77.117	65.563	-2.202997091	down	1.09E-13	3.76E-13	phosphoribosylaminoimidazolesuccinocarboxamide synthase
